"Story","Title","Result","Date","Stability","Duration (s)"
"Yo como asesor","Inicio de sesion exitoso","PENDING","2022-12-11T12:16:53.082-05:00[America/Bogota]","0.0","0.09"
"Yo como asesor","inicio de sesion fallido","PENDING","2022-12-11T12:16:53.202-05:00[America/Bogota]","0.0","0.01"
"Yo como asesor","Inicio de sesion exitoso","SUCCESS","2022-12-12T05:08:34.75-05:00[America/Bogota]","0.0","12.92"
"Yo como asesor","inicio de sesion fallido","SUCCESS","2022-12-12T05:08:47.677-05:00[America/Bogota]","0.0","9.26"
